test-36280	How much weight will I lose if I don't eat for a day?
test-36281	How much weight would I lose in a month if I eat 300 calories per day?
test-36282	What are the best ways for a (mobile) developer to learn UI and UX design?
test-36283	Which softwares are best for iOS app UX/ UI design?
test-36284	What are the best ways to dispose plastic waste?
test-36285	What are some ways to dispose electronic waste?
test-36286	How do I get a guy to tell you he likes you?
test-36287	How do I tell if a guy likes me when he has a girlfriend?
test-36288	What can be used as a substitute for cumin seeds?
test-36289	What can cumin seeds be used for?
test-36290	What does each line mean from the song STARBOY by Weeknd ?
test-36291	"What is the line-by-line meaning of ""The Hammer Song""?"
test-36292	What is the best way to self publish music assuming you've got a decent sounding mastered track?
test-36293	What is the best sound quality for music?
test-36294	I have to complete a 1600 meters run in 6 min. I have only 9 days left. What are any running tips?
test-36295	When is the best time to run?
test-36296	Which is the best institute in Bangalore for Oracle DBA training?
test-36297	Which is the best online training centre for oracle DBA?
test-36298	What are some major unorganised markets (especially in India)?
test-36299	Who are India's best stock traders?
test-36300	What type of program is Microsoft Access? What is it used for?
test-36301	What is database replication in Microsoft Access, and what is it used for?
test-36302	What rank can I expect with 157 marks in JEE advanced 2016?
test-36303	What rank is expected for a score of 200+ in JEE advanced 2016?
test-36304	Which one is correct? ''I didn't write to you this week'' or ''I haven't wrote to you this week''?
test-36305	What form of verb is used with didn't?
test-36306	I am unable to focus and I give up after studying for fifteen minutes. I can't concentrate. What should I do to overcome this?
test-36307	How do I read/study with focus/concentration and avoid distractions/procrastination?
test-36308	Just like Indians go to the United States to pursue higher studies, where do Americans go?
test-36309	How many people were killed in the knife rampage in Sagamihara, Japan?
test-36310	Where can I get most friendly jumping castle hire services in Sydney?
test-36311	Where can I found most diverse ranges of Jumping Castles & Bouncy Castles in Sydney?
test-36312	What will be the positive and negative effects of demonization of ₹500/1000 notes on Indian economy?
test-36313	How will the ban of Rs 500 and Rs 1000 notes affect Indian economy?
test-36314	How are gun manufacturers protected by special laws?
test-36315	Why did Congress grant firearms manufacturers an exemption from product liability lawsuits? Is this a good thing?
test-36316	What does “endorsed” mean on Quora?
test-36317	"What does an ""endorsement"" do on Quora?"
test-36318	Is it true there is cure for herpes?
test-36319	Is there a cure for herpes? If not, what can treat herpes?
test-36320	How do you become a really good storyteller?
