test-320080	Was the Kargil coffin scam real? Why were the associated people given clean chits in this case?
test-320081	How can I clean defaced bills? I know that the SSD solution is a scam.
test-320082	"How do you pronounce ""Ex Machina""?"
test-320083	Is Ex Machina (Movie) a realistic look on how AI will develop over the next few decades?
test-320084	What should I do with old guitar strings (edit: after changing them)?
test-320085	How do I replace a guitar string?
test-320086	What are the core companies in ECE?
test-320087	Is there any core jobs in oil companies for an ECE graduate?
test-320088	What are the best documentaries about entrepreneurship in the IT business?
test-320089	What are the best documentaries about entrepreneurship?
test-320090	What is your favorite book about writing?
test-320091	What are your favorite books of all time? And why?
test-320092	Is it advisable to buy a used BMW or a Mercedes (mileage ~ 150,000), costing about $5000?
test-320093	Is buying an older car that has only about 15,000 miles of use a bad idea compared to a newer car using the same budget?
test-320094	How long do you think it will it take for Trump to be impeached?
test-320095	Will Trump Will Be Impeached?
test-320096	If you're an independent software developer/consultant, would you share some tips on acquiring clients?
test-320097	If we’re hiring an immigrant worker as a consultant, do we still need to acquire an H-1B visa?
test-320098	What are some lesser-known sights to see when visiting Alexandra, South Africa?
test-320099	What are some lesser-known sights to see when visiting Springs, South Africa?
test-320100	What was Steve Jobs favorite movie?
test-320101	What were Steve Jobs' favorite books?
test-320102	What are some simple survey topics for students?
test-320103	I've to speak to tech students about SaaS, what topics should I cover?
test-320104	Is it bad to take expired fish oil pills because they will do more harm than good?
test-320105	When does peanut oil expire? What are signs that it is going bad?
test-320106	How do I become a pilot in Singapore?
test-320107	What is the salary range of a pilot in Singapore?
test-320108	Why is India not good at football?
test-320109	Why is India not good in football?
test-320110	I got a GRE score of 301. Which is better TOEFL or IELTS?
test-320111	Should I opt for TOEFL or IELTS?
test-320112	How do I hack phones?
test-320113	How can I track someone else's Skype messages?
test-320114	What is the best way to subtract a percentage?
test-320115	How do you subtract percentages from whole numbers?
test-320116	How was U.S. president John F. Kennedy killed?
test-320117	Why was John F. Kennedy murdered?
test-320118	I've campus recruitment of mindtree on 19 Sept . My coding part is avg,what should I do to strengthen my coding part books, YouTube channel, sites?
test-320119	Currently how the world is right now what is life like in Marine corps Infantry?
test-320120	How long does a marijuana high last?
test-320121	Where can I get some high quality weed (marijuana) in Pune?
test-320122	What are some real-world applications of a stack data structure?
test-320123	What is the practical application of trees or graphs in data structures?
test-320124	Why do people choose to pursue a PhD?
test-320125	What is a Ph.D and how it will benefit my career?
test-320126	Is £5,500 a month a good enough salary to live in London?
test-320127	Is £50,000 a year a good enough salary to live in London?
test-320128	What is the difference between supervising and supervision?
test-320129	How do supervision and administration differ?
test-320130	What are rhetorical questions used for?
test-320131	What are some examples of rhetorical questions?
test-320132	Which regions of Germany are hot-beds of left-wing politics? Which regions are hot-beds of right-wing politics? Why?
test-320133	Which regions of South Korea are hot-beds of left-wing politics? Which regions are hot-beds of right-wing politics? Why?
test-320134	What is the maximum eye power a myopic can get?
test-320135	Will my myopic prescription decrease when I potentially get farsightedness in my 40s?
test-320136	What do you think about casual sex?
test-320137	What do people think of casual sex?
test-320138	What's a good song I can use to lyric prank my guy friend?
test-320139	What are the best lyrics pranc songs for your friends?
test-320140	What is the best way to literate child labour?
test-320141	How do you think of child labour?
test-320142	France fought hard in WWI, and won. Why did France fall quickly to Germany in World War II?
test-320143	How did Germany defeat France so easily during the World War II?
test-320144	Is it true that if you do a certain advanced course in mathematics at Harvard you can only work for the U.S. government?
test-320145	Russians say that the U.S. entered WWII (European front) only towards the end, after the Soviets started winning. To what extent is this true or not?
test-320146	What are some of the sites which doesn't have an API, but can build cool apps if they provide an API?
test-320147	What would be cool apps to make using the Uber API?
test-320148	Electrical engineering/history: how did the Enigma Machine work?
test-320149	How did the Enigma machine work?
test-320150	How does love feels like for a prisoner?
test-320151	How do I stop feeling like a prisoner?
test-320152	What is a good itinerary for a 2 weeks trip to Indonesia?
test-320153	What are the best places to visit on a one week trip to Indonesia?
