414000	I am doing physics measure and want to go for theoretical physics . Need some guidance about salary of researchers , fellowship money while PhD ?
414001	How do people manage to raise children conceived through rape and what are the psychological implications ?
414002	What's it like for 2 people to decide to become the father and mother of children together including raising the children but not get into a relationship ?
414003	Could you make a tranquilizers arrows ?
414004	Is it possible to convert a car with a turbo diesel engine into a naturally aspirated petrol engine ?
414005	Is it possible to convert a natural aspirated diesel engine into a turbo engine ?
414006	How does the molecular mass of ammonium phosphate differ from that of pure ammonium ?
414007	In what ways is the molecular mass of ammonium phosphate different from that of pure phosphate ?
414008	What are some WhatsApp group names for NEET ?
414009	How would you describe the parameter Right Ascension of Ascending Node ?
414010	I don't have anything to talk about on phone with my boyfriend . What should I do ?
414011	I found out that my boyfriend is cheating on me with his ex . I don't know how to talk to him about it . Any advice ?
414012	What division should Microsoft divest and why ?
414013	Should I buy a Microsoft Surface or an Ipad ?
414014	How do you start and operate a partnership in India ?
414015	What is the example of lyophilic colloids ?
414016	`` It is I who is/am responsible for the delay . Which one is correct :'' `` is'''' or'' `` am'''' ?''
414017	`` Which is the correct sentence ,'' `` I am about to be there'''' or'' `` I am about to reach there'''' ?''
414018	If you send a semi naked picture of your boyfriend's favourite actress and he says it does not turn him on in fact you can see it does not , is it something to be proud of or worried about ?
414019	How does one come up with scaleable services and products as beginning entrepreneur ?
414020	What are good universities for masters in electrical engineering in USA ?
414021	What is at the end of the end ?
414022	What is end-to-end strategy ?
414023	How many books do you read in a week ? What is the most one can ?
414024	How do sodium hydroxide and carbon dioxide differ ?
414025	How do sodium hydroxide and carbon dioxide react ?
414026	Do employees at Lincoln Electric Holdings have a good work-life balance ? Does this differ across positions and departments ?
414027	How much does it cost to build a condo building ?
414028	So if man has never been beyond the Van Allen radiation belt , how did the Apollo missions achieve the moon landings ?
414029	Has man ever crossed the van Allen radiation belt safely ?
414030	What is the value of square root of [math] 0.4 \ ;\ ;\ ; and \ ;\ ;\ ;\ ; -4 [/ math] ?
414031	Which networking model is earlier : TCP/IP or OSI ?
414032	I'm 15 with irregular periods . Nobody in my family has a history of ovulation spotting , but I had light pink discharge for two days . Was it spotting ?
414033	Should I work things out with my ex ?
414034	How do my ex and I work things out ?
414035	How can you dynamically use images in asp.net , for example , to show a gallery of images loaded from a database when required ?
414036	How do I extract image from PDF using PHP ?
414037	How do I take input a control in a private method in c# ?
